date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,depth,doc
2007-01-10,8.27971,97091402.270955,-33.24272,-0.800705,0.351748,8.62416656666667,82.144693875,972.184576666667,61,7.60165260833333,94.375,6.9449998625,6.86583325833333,7.28458327083333,11.0095830625,0.289625,0.299583333333333,0.306,0.307,0,1.100684645,24.2864,2.25605,5,226.792
2007-01-10,8.27971,97091402.270955,-33.24272,-0.800705,0.351748,8.62416656666667,82.144693875,972.184576666667,61,7.60165260833333,94.375,6.9449998625,6.86583325833333,7.28458327083333,11.0095830625,0.289625,0.299583333333333,0.306,0.307,0,1.100684645,24.2864,2.25605,0,218.3
2007-02-07,7.31044,92389102.270955,-43.35475,-5.169825,0.260573,7.36374990833333,73.0832141666667,952.349735833333,40.1666666666667,5.94968927916667,108.166666666667,5.83666664583333,5.66999995,6.12833332083333,8.8825,0.271916666666667,0.274458333333333,0.294583333333333,0.305958333333333,0,1.342844104,18.1634,2.22713,0,214.886
2007-02-07,7.31044,92389102.270955,-43.35475,-5.169825,0.260573,7.36374990833333,73.0832141666667,952.349735833333,40.1666666666667,5.94968927916667,108.166666666667,5.83666664583333,5.66999995,6.12833332083333,8.8825,0.271916666666667,0.274458333333333,0.294583333333333,0.305958333333333,0,1.342844104,18.1634,2.22713,5,212.722
2007-03-07,8.04143,96058802.270955,-48.717305,-2.154226,0.207408,9.00958315,77.8739179583333,955.615688333333,63.4166666666667,8.7016179625,137.541666666667,9.30333327916667,9.0762499375,9.18666666666667,8.42,0.330916666666667,0.308333333333333,0.281583333333333,0.304,7.1,1.703925986,14.0853,2.22447,0,213.721
2007-03-07,8.04143,96058802.270955,-48.717305,-2.154226,0.207408,9.00958315,77.8739179583333,955.615688333333,63.4166666666667,8.7016179625,137.541666666667,9.30333327916667,9.0762499375,9.18666666666667,8.42,0.330916666666667,0.308333333333333,0.281583333333333,0.304,7.1,1.703925986,14.0853,2.22447,2,219.049
2007-03-07,8.04143,96058802.270955,-48.717305,-2.154226,0.207408,9.00958315,77.8739179583333,955.615688333333,63.4166666666667,8.7016179625,137.541666666667,9.30333327916667,9.0762499375,9.18666666666667,8.42,0.330916666666667,0.308333333333333,0.281583333333333,0.304,7.1,1.703925986,14.0853,2.22447,5,232.953
2007-04-12,9.745819,108087702.270955,-28.329407,-2.257614,0.255668,10.9512498541667,91.087973625,961.611879166667,98.3333333333333,14.6452412708333,65.9583333333333,10.530416625,9.6325,8.9470833125,8.2699995,0.372708333333333,0.350666666666667,0.316958333333333,0.302,16.2,0.8769120754,26.0293,2.03364,0,267.188
2007-04-12,9.745819,108087702.270955,-28.329407,-2.257614,0.255668,10.9512498541667,91.087973625,961.611879166667,98.3333333333333,14.6452412708333,65.9583333333333,10.530416625,9.6325,8.9470833125,8.2699995,0.372708333333333,0.350666666666667,0.316958333333333,0.302,16.2,0.8769120754,26.0293,2.03364,3,263.901
2007-04-12,9.745819,108087702.270955,-28.329407,-2.257614,0.255668,10.9512498541667,91.087973625,961.611879166667,98.3333333333333,14.6452412708333,65.9583333333333,10.530416625,9.6325,8.9470833125,8.2699995,0.372708333333333,0.350666666666667,0.316958333333333,0.302,16.2,0.8769120754,26.0293,2.03364,5,258.846
2007-05-09,17.815333,97491302.270955,-14.935953,-0.478855,0.222575,17.3491667916667,76.7719290416667,971.9459225,5,4.6603149125,309.458333333333,15.9950003333333,14.609583375,11.942916625,9.7679161875,0.3105,0.336083333333333,0.295416666666667,0.301,0,4.693477195,21.7802,2.35846,0,241.958
2007-05-09,17.815333,97491302.270955,-14.935953,-0.478855,0.222575,17.3491667916667,76.7719290416667,971.9459225,5,4.6603149125,309.458333333333,15.9950003333333,14.609583375,11.942916625,9.7679161875,0.3105,0.336083333333333,0.295416666666667,0.301,0,4.693477195,21.7802,2.35846,5,258.846
2007-06-07,20.814396,79237602.270955,-29.315173,-2.710827,0.146603,18.5700005,75.1073080416667,962.29490125,68.9583333333333,5.69410051541667,257.125,17.6366669166667,16.61583375,14.7116666041667,11.9575,0.353875,0.343333333333333,0.282291666666667,0.297,0,4.146363679,16.2476,2.36184,5,176.567
2007-06-07,20.814396,79237602.270955,-29.315173,-2.710827,0.146603,18.5700005,75.1073080416667,962.29490125,68.9583333333333,5.69410051541667,257.125,17.6366669166667,16.61583375,14.7116666041667,11.9575,0.353875,0.343333333333333,0.282291666666667,0.297,0,4.146363679,16.2476,2.36184,0,178.21
2007-07-04,22.557615,92312002.270955,-66.100918,-8.717104,0.146566,19.0783338333333,80.3455333333333,965.232898333333,86.2916666666667,6.2110767075,138.75,19.5179171666667,19.4450004583333,17.9054166666667,14.3470833333333,0.226958333333333,0.239083333333333,0.268291666666667,0.293,4.4,2.325882867,12.9054,2.39048,0,214.838
2007-07-04,22.557615,92312002.270955,-66.100918,-8.717104,0.146566,19.0783338333333,80.3455333333333,965.232898333333,86.2916666666667,6.2110767075,138.75,19.5179171666667,19.4450004583333,17.9054166666667,14.3470833333333,0.226958333333333,0.239083333333333,0.268291666666667,0.293,4.4,2.325882867,12.9054,2.39048,5,211.681
2007-08-01,25.357252,97331102.270954,-227.980517,-17.435291,0.145827,22.4450003333333,80.1880174583333,963.351449166667,15.8333333333333,9.20803077083333,306,22.2908339166667,21.35958375,20.05541775,16.4720839583333,0.21,0.213458333333333,0.246708333333333,0.288,0,5.009836405,8.69867,2.43031,5,208.908
