date,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev
1993-01-01,2.20749999666667,87.3395800416667,969.901628333333,44.6666666666667,3.46734142916667,3.46734142916667,68.1666666666667,-1.51958332416667,0.751249996666667,6.3262499375,11.0366664583333,0.364166666666667,0.371041666666667,0.369,0,0.658703539
1993-01-02,0.755416655625,90.5385103333333,969.061137916667,39.9166666666667,3.33102199166667,3.33102199166667,84,-1.82791666583333,0.52000001375,5.69499995,10.9179166666667,0.362208333333333,0.368875,0.369,0,0.7210041877
1993-01-03,-0.352916666416667,84.9255661666667,968.695544166667,46.375,6.62758339583333,6.62758339583333,61.3333333333333,-0.519583327083333,0.580416666666667,5.16791660416667,10.7887498125,0.359708333333333,0.366791666666667,0.368416666666667,0,0.558901441
1993-01-04,-1.06541665833333,84.444885125,973.892732083333,33.7083333333333,3.85594463333333,3.85594463333333,89.875,-1.60291665375,0.574166677916667,4.76374995,10.6491666666667,0.357541666666667,0.364666666666667,0.368083333333333,0,0.7360890944
1993-01-05,0.407500014166667,79.8960115833333,980.489183333333,0.5,4.56697661666667,4.56697661666667,98.2083333333333,-1.28833334875,0.392916675,4.41583324583333,10.5074998333333,0.356125,0.362708333333333,0.368,0,0.905567374
1993-01-06,1.530416625,77.61706275,980.055544583333,1.375,4.88676689166667,4.88676689166667,96.25,-0.996666667083333,0.3075,4.1116665875,10.3574999583333,0.354625,0.361458333333333,0.368,0,0.963327062
1993-01-07,3.81583327166667,76.8252822916667,975.56780375,53.6666666666667,5.12386193333333,5.12386193333333,92.3333333333333,-0.51750001875,0.267916666666667,3.855416675,10.207499875,0.353375,0.36025,0.367791666666667,0,0.9908826759
1993-01-08,6.09916660416667,74.8637460416667,974.833310416667,17.9583333333333,3.40280282916667,3.40280282916667,95.4583333333333,1.3304166775,0.574166667083333,3.65958328333333,10.0533331666667,0.348958333333333,0.358333333333333,0.367125,0,1.0361228048
1993-01-09,4.41791662608333,87.9010185833333,975.440740416667,18,4.893555025,4.893555025,97.625,1.52000000125,1.582500005,3.5950001,9.90125,0.346166666666667,0.356041666666667,0.366083333333333,0,1.0489753403
1993-01-10,4.44291664770833,89.410146625,973.284670833333,48.4166666666667,7.84206833333333,7.84206833333333,99.625,2.26374998416667,2.18250001666667,3.68249995833333,9.75124983333333,0.345291666666667,0.354541666666667,0.36675,0,0.985659234
1993-01-11,5.00541658041667,83.8507101666667,968.111232083333,34.375,8.80763412916667,8.80763412916667,98.2083333333333,3.93041664583333,3.138749975,3.85125005833333,9.6095833125,0.342958333333333,0.352041666666667,0.366333333333333,0,1.065421649
1993-01-12,6.27208331916667,82.834870625,967.978975416667,5.25,6.304054225,6.304054225,90.5416666666667,4.54083331666667,3.66791664166667,4.10541655416667,9.4741665,0.339541666666667,0.349666666666667,0.366,0,1.019230378
1993-01-13,7.77624995,85.0747160416667,972.062005416667,23.3333333333333,7.8941862875,7.8941862875,100.666666666667,5.98666661666667,4.66374998333333,4.40333324583333,9.35333333333333,0.336875,0.34725,0.365,0,1.1875632
1993-01-14,7.6054166,90.3135115833333,976.976125416667,65.25,4.40297352083333,4.40297352083333,83.5833333333333,6.22624990833333,5.50958325833333,4.81166662916667,9.23874977083333,0.33575,0.345625,0.365666666666667,0,0.950225549
1993-01-15,7.98041658333333,87.5150464583333,978.911814166667,36.2916666666667,6.8237260625,6.8237260625,103.583333333333,7.1304166,6.14083328333333,5.22208327083333,9.14291666666667,0.33425,0.344333333333333,0.365916666666667,0,1.116842441
1993-01-16,7.16791655833333,84.8388332916667,981.1805125,30.3333333333333,7.12648323333333,7.12648323333333,104.25,6.65749993333333,5.80333327083333,5.55958328333333,9.04708310416667,0.330333333333333,0.342416666666667,0.364083333333333,0,1.1485295834
1993-01-17,6.53666662083333,85.6373944166667,978.720736666667,47.5833333333333,8.235562175,8.235562175,85.875,5.81583325,5.54083325833333,5.77624995,8.9741665625,0.329,0.33975,0.363,0,0.92260657
1993-01-18,5.11583330416667,83.3773264583333,976.241534166667,19.7916666666667,4.57499658333333,4.57499658333333,105.833333333333,4.10333330875,4.97833328333333,5.86791665416667,8.89708333333333,0.32775,0.338,0.362333333333333,0,1.149143321
1993-01-19,3.94708331333333,87.0949624583333,976.6459575,5.45833333333333,3.82726921666667,3.82726921666667,108.291666666667,1.57625001916667,3.32416664583333,5.7762499625,8.82624995833333,0.325583333333333,0.335958333333333,0.361333333333333,0,1.1428368775
1993-01-20,4.58041660229167,78.8355790416667,977.4475175,2.79166666666667,4.28747155833333,4.28747155833333,112.958333333333,2.23666669166667,2.79499997083333,5.48041662916667,8.749166375,0.32425,0.334541666666667,0.360541666666667,0,1.2208178533
1993-01-21,4.31999999716667,75.9889939166667,978.5562925,40.1666666666667,4.53439628333333,4.53439628333333,114.666666666667,2.82416665625,3.26583330416667,5.25958327083333,8.67,0.322125,0.332791666666667,0.359583333333333,0,1.2755671378
1993-01-22,4.2679166515,75.8246857083333,977.921113333333,0.0416666666666667,4.6671261125,4.6671261125,117.333333333333,2.05749997025,3.09916665,5.132499875,8.59083333333333,0.319333333333333,0.330541666666667,0.358625,0,1.289992647
1993-01-23,5.02416661691667,74.26495375,976.753879166667,6.75,4.9518836375,4.9518836375,118.291666666667,2.18458330666667,2.9387499875,4.98041660416667,8.50749970833333,0.316958333333333,0.328,0.357291666666667,0,1.365646348
