date,fdom
2017-02-04,22.4725548513986
2017-02-05,21.8147679523602
2017-02-06,20.7054135125291
2017-02-07,19.9751346481644
2017-02-08,17.341024694056
2017-02-09,16.696661565778
2017-02-10,15.9704156960228
2017-02-11,15.0223504097465
2017-02-12,15.7227688865822
2017-02-13,17.5291314084354
2017-02-14,17.1424380572553
2017-02-15,18.1675072880245
2017-02-16,21.9034247159091
2017-02-17,22.4133055725525
2017-02-18,21.3841813046329
2017-02-19,20.7307432200612
2017-02-20,20.6780362598339
2017-02-21,21.0841350251312
2017-02-22,21.4686800535402
2017-02-23,21.7474183457168
2017-02-24,23.044545044799
2017-02-25,22.7290140133305
2017-02-26,22.6888141499126
2017-02-27,21.7522430015298
2017-02-28,21.9821852272728
2017-03-01,21.5593329545455
2017-03-02,21.2110136636801
2017-03-03,21.0954495137675
2017-03-04,20.4066644558567
2017-03-05,20.33432375211
2017-03-24,12.2574233464452
2017-03-25,15.8872072497815
2017-03-26,14.1767047967658
2017-03-27,12.7729733555507
2017-03-28,13.8883846208479
2017-04-10,11.734144645979
2017-04-11,13.185499247722
2017-04-12,12.6828163406906
2017-04-13,12.5341606206294
2017-04-18,12.7120008041958
2017-04-19,12.9758793426574
2017-04-25,6.01425027972029
2017-04-26,7.62764020979022
2017-04-27,7.78836237980771
2017-05-16,4.29493611232518
2017-05-17,4.4274477060818
2017-05-18,4.60066230878497
2017-05-19,4.89260015297203
2017-05-20,4.665881211757
2017-05-21,4.26433167067308
2017-05-22,4.20036838942308
2017-05-23,4.40574570585665
2017-05-24,4.52931276770105
2017-05-25,5.02782538243007
2017-05-26,5.56085327250874
2017-05-27,5.63871626966783
2017-05-28,6.32683987106643
2017-05-29,6.75081106861888
2017-05-30,7.01476705091783
2017-05-31,6.98756942198427
2017-06-01,6.89568382602246
2017-06-02,6.22258420563811
2017-06-03,6.24593731424825
2017-06-04,6.30731240166084
2017-06-05,6.55384713723776
2017-06-06,7.02510065559441
2017-06-07,6.47059402316433
2017-06-08,6.6441243826486
2017-06-09,6.85717372159091
2017-06-10,7.16187440450175
2017-06-11,7.43538269230769
2017-06-12,7.75879659090909
2017-06-13,8.4995450431921
2017-06-14,9.00806928374655
2017-06-15,9.43802659913615
2017-06-16,9.49607646217419
2017-06-17,9.38462668815559
2017-06-18,9.26608356643356
2017-06-19,9.2487124443738
2017-06-20,9.20315852272726
2017-06-21,9.57753002622376
2017-06-22,9.76193572989509
2017-06-23,9.48015597319346
2017-06-26,10.3626533566433
2017-06-27,10.7307790319056
2017-06-28,10.2330849104021
2017-06-29,9.89890876857516
2017-06-30,9.05585903081293
2017-07-01,8.47528084025349
2017-07-02,8.49791438483391
2017-07-03,8.43542852928321
2017-07-04,8.67104453671328
2017-07-05,9.3863459386767
2017-07-06,9.1219095104895
2017-07-13,9.07992835208269
2017-07-14,9.24122941433566
2017-07-15,9.33589240305148
2017-07-16,9.47213641280593
2017-07-17,9.70943846700174
2017-07-18,10.0068973146853
2017-07-19,9.0121622887529
2017-07-20,9.96837936533163
2017-07-21,8.98914037915209
2017-07-22,8.61257115384615
2017-07-23,8.73236341236887
2017-07-24,8.84398986013985
2017-07-25,8.846432888986
2017-07-26,8.35086960227272
2017-07-27,8.31116615808433
2017-07-28,8.2463243389423
2017-07-29,8.35900884506118
2017-07-30,8.52057893621529
2017-07-31,8.81280781571369
2017-08-01,8.60178647290209
2017-08-02,8.21039749781467
2017-08-03,8.21931958916083
2017-08-11,7.98807148892773
2017-08-12,8.07350686056367
2017-08-13,8.04075723885489
2017-08-14,8.1689233500874
2017-08-15,8.36329832061877
2017-08-16,8.48976171874999
2017-08-17,8.46664781468531
2017-08-18,8.44505337995337
2017-08-19,8.37215596590908
2017-08-20,8.19938662587411
2017-08-21,8.21807141608391
2017-08-22,8.38968196022726
2017-08-23,8.48699067416957
2017-08-24,8.3589715417395
2017-08-25,7.96042290209789
2017-08-26,8.09188898601398
2017-08-27,8.61441358173076
2017-08-28,8.64758157233391
2017-08-29,8.11202033981642
2017-08-30,7.77131626420454
2017-08-31,7.76068870738635
2017-09-01,8.2143400458916
2017-09-02,8.2871698038073
2017-09-03,8.58578124999999
2017-09-04,8.54929224213286
2017-09-05,8.4897883595571
2017-09-06,8.35302130681818
2017-09-07,8.62105793815559
2017-09-08,8.21123164881992
2017-09-09,8.0850559489122
2017-09-10,9.08412529501748
2017-09-11,9.4055380736451
2017-09-12,9.8934121722028
2017-09-13,9.50454865056818
2017-09-14,9.26680446350524
2017-09-15,11.120154059222
2017-09-16,11.2742503387238
2017-09-17,10.5650009232955
2017-09-18,10.3537981260927
2017-09-19,9.85601641171329
2017-09-20,9.5931327687937
2017-09-21,9.13398681162587
2017-09-22,9.23581277316433
2017-09-23,9.4856203125
2017-09-24,9.38317484156469
2017-09-25,10.3251960609703
2017-09-26,11.132199448208
2017-09-27,9.56069464051574
2017-09-28,9.03680432692308
2017-09-29,8.93942254152098
2017-09-30,9.04789242424242
2017-10-01,8.59201434112762
2017-10-02,8.98420452906469
2017-10-03,9.78114431818182
2017-10-04,9.6109744645979
2017-10-05,9.01688376311189
2017-10-06,8.97943638002622
2017-10-07,8.82377135598776
2017-10-08,8.4978362652972
2017-10-09,9.16128882211539
2017-10-10,8.92909594077797
2017-10-11,8.36246049497378
2017-10-12,8.41496848229895
2017-10-13,8.82944002950175
2017-10-14,9.54952109921329
2017-10-15,8.76725702032343
2017-10-16,8.44743794252623
2017-10-17,8.09643653846154
2017-10-18,9.87023476835665
2017-10-19,11.630564100743
2017-10-20,12.4017730496066
