date,q,swt,v,lh,sh,light,strat,t,rh,sp,cc,pev,ws,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
1993-01-01,19.294,8.838826,140103017.823649,-15.901035,-5.34555,174.271424,0.136438,2.20749999666667,87.3395800416667,969.901628333333,44.6666666666667,0.0274459807916667,3.46734142916667,-1.51958332416667,0.751249996666667,6.3262499375,11.0366664583333,0.364166666666667,0.371041666666667,0.369,0.364,0
1993-01-02,17.1296,8.724397,141395672.028762,-28.18158,-11.057031,196.001474,0.140014,0.755416655625,90.5385103333333,969.061137916667,39.9166666666667,0.0300418411541667,3.33102199166667,-1.82791666583333,0.52000001375,5.69499995,10.9179166666667,0.362208333333333,0.368875,0.369,0.364,0
1993-01-03,15.0463,8.561403,139793793.806684,-52.894891,-21.601643,141.194772,0.207112,-0.352916666416667,84.9255661666667,968.695544166667,46.375,0.0232875600416667,6.62758339583333,-0.519583327083333,0.580416666666667,5.16791660416667,10.7887498125,0.359708333333333,0.366791666666667,0.368416666666667,0.364,0
1993-01-04,15.7407,8.455143,137283183.595044,-14.483018,-5.894103,199.635874,0.130386,-1.06541665833333,84.444885125,973.892732083333,33.7083333333333,0.0306703789333333,3.85594463333333,-1.60291665375,0.574166677916667,4.76374995,10.6491666666667,0.357541666666667,0.364666666666667,0.368083333333333,0.364,0
1993-01-05,11.6898,8.318118,136469086.164487,-47.884692,-16.217492,219.709964,0.245347,0.407500014166667,79.8960115833333,980.489183333333,0.5,0.0377319739166667,4.56697661666667,-1.28833334875,0.392916675,4.41583324583333,10.5074998333333,0.356125,0.362708333333333,0.368,0.364,0
1993-01-06,14.6528,8.187456,137538164.703054,-56.448151,-16.106738,214.963444,0.395311,1.530416625,77.61706275,980.055544583333,1.375,0.0401386275833333,4.88676689166667,-0.996666667083333,0.3075,4.1116665875,10.3574999583333,0.354625,0.361458333333333,0.368,0.364,0
1993-01-07,12.5,8.111329,136926670.456183,-41.459835,-9.79272,203.042334,0.410364,3.81583327166667,76.8252822916667,975.56780375,53.6666666666667,0.0412867781625,5.12386193333333,-0.51750001875,0.267916666666667,3.855416675,10.207499875,0.353375,0.36025,0.367791666666667,0.364,0
1993-01-08,11.7824,8.095573,136266000.745696,-7.938644,-1.45104,216.625383,0.412513,6.09916660416667,74.8637460416667,974.833310416667,17.9583333333333,0.0431717835333333,3.40280282916667,1.3304166775,0.574166667083333,3.65958328333333,10.0533331666667,0.348958333333333,0.358333333333333,0.367125,0.364,0
1993-01-09,12.6852,8.028683,135708422.010643,-21.416321,-6.413185,221.040948,0.441961,4.41791662608333,87.9010185833333,975.440740416667,18,0.0437073058458333,4.893555025,1.52000000125,1.582500005,3.5950001,9.90125,0.346166666666667,0.356041666666667,0.366083333333333,0.364,0
1993-01-10,11.4468,7.915655,136672347.23444,-80.743863,-23.945026,225.359632,0.251293,4.44291664770833,89.410146625,973.284670833333,48.4166666666667,0.04106913475,7.84206833333333,2.26374998416667,2.18250001666667,3.68249995833333,9.75124983333333,0.345291666666667,0.354541666666667,0.36675,0.364,0
1993-01-11,11.2269,7.826757,136063091.033948,-83.034686,-17.072163,211.224405,0.251399,5.00541658041667,83.8507101666667,968.111232083333,34.375,0.0443925687083333,8.80763412916667,3.93041664583333,3.138749975,3.85125005833333,9.6095833125,0.342958333333333,0.352041666666667,0.366333333333333,0.364,0
1993-01-12,9.9306,7.794585,135809701.060755,-35.628545,-5.290799,207.292469,0.267899,6.27208331916667,82.834870625,967.978975416667,5.25,0.0424679324166667,6.304054225,4.54083331666667,3.66791664166667,4.10541655416667,9.4741665,0.339541666666667,0.349666666666667,0.366,0.364,0
1993-01-13,10.9259,7.771761,136266000.745697,-39.323246,-2.920909,231.077542,0.188617,7.77624995,85.0747160416667,972.062005416667,23.3333333333333,0.0494818,7.8941862875,5.98666661666667,4.66374998333333,4.40333324583333,9.35333333333333,0.336875,0.34725,0.365,0.364,0
1993-01-14,9.919,7.808561,136113801.991446,-3.913409,-0.327786,202.59091,0.303937,7.6054166,90.3135115833333,976.976125416667,65.25,0.0395927312083333,4.40297352083333,6.22624990833333,5.50958325833333,4.81166662916667,9.23874977083333,0.33575,0.345625,0.365666666666667,0.364,0
1993-01-15,9.5949,7.79936,136113801.991446,-25.091297,-0.054831,240.711256,0.484357,7.98041658333333,87.5150464583333,978.911814166667,36.2916666666667,0.0465351017083333,6.8237260625,7.1304166,6.14083328333333,5.22208327083333,9.14291666666667,0.33425,0.344333333333333,0.365916666666667,0.364,0
1993-01-16,8.0787,7.75211,136875783.847525,-46.419823,-4.441648,240.850044,0.266205,7.16791655833333,84.8388332916667,981.1805125,30.3333333333333,0.0478553993083333,7.12648323333333,6.65749993333333,5.80333327083333,5.55958328333333,9.04708310416667,0.330333333333333,0.342416666666667,0.364083333333333,0.364,0
1993-01-17,8.912,7.685852,137640233.83881,-67.502144,-14.525952,204.604752,0.19223,6.53666662083333,85.6373944166667,978.720736666667,47.5833333333333,0.0384419404166667,8.235562175,5.81583325,5.54083325833333,5.77624995,8.9741665625,0.329,0.33975,0.363,0.364,0
1993-01-18,8.912,7.671718,137997820.837303,-15.510646,-4.113003,237.877907,0.269405,5.11583330416667,83.3773264583333,976.241534166667,19.7916666666667,0.0478809717083333,4.57499658333333,4.10333330875,4.97833328333333,5.86791665416667,8.89708333333333,0.32775,0.338,0.362333333333333,0.364,0
